Student Name,Admission Number,Class Name,Stream Name,Parent Name,Parent Email,Date of Birth
Kelvin Maina Ndirangu,CBC-001,PP1,East,Olivia Wairimu Ndirangu,olivia.wairimu@giakanja.co.ke,2021-07-04
Winnie Zawadi Macharia,CBC-002,PP1,East,Oscar Kiptoo Macharia,oscar.kiptoo@giakanja.co.ke,2021-11-24
Samuel Nekesa Koech,CBC-003,PP1,East,Victor Kagendo Koech,victor.kagendo@giakanja.co.ke,2021-02-24
Mary Mwenda Gachuhi,CBC-004,PP1,East,Hassan Kimani Gachuhi,hassan.kimani@giakanja.co.ke,2021-07-10
Shadrack Zawadi Hussein,CBC-005,PP1,East,Aisha Awino Hussein,aisha.awino@giakanja.co.ke,2020-10-20
Irene Akelo Odhiambo,CBC-006,PP1,East,Linda Njoroge Odhiambo,linda.njoroge@giakanja.co.ke,2020-12-12
Trevor Awino Kavata,CBC-007,PP1,East,Betty Otieno Kavata,betty.otieno@giakanja.co.ke,2021-08-21
Atieno Wambui Odero,CBC-008,PP1,East,Leonard Wambui Odero,leonard.wambui@giakanja.co.ke,2020-02-03
Rodgers Wairimu Gatheru,CBC-009,PP1,East,Trevor Njoroge Gatheru,trevor.njoroge@giakanja.co.ke,2021-06-19
Yvonne Mwenda Muthike,CBC-010,PP1,East,Jepkoech Kamau Muthike,jepkoech.kamau@giakanja.co.ke,2020-10-03
Duncan Kimani Alego,CBC-011,PP1,East,Zara Maina Alego,zara.maina@giakanja.co.ke,2020-08-20
Chepkoech Auma Wekesa,CBC-012,PP1,East,Betty Muthoni Wekesa,betty.muthoni@giakanja.co.ke,2021-06-08
Ochieng Nekesa Gitau,CBC-013,PP1,East,Abdi Zawadi Gitau,abdi.zawadi@giakanja.co.ke,2020-05-20
Margaret Chelangat Ochieng,CBC-014,PP1,East,Amos Auma Ochieng,amos.auma@giakanja.co.ke,2021-05-20
Ian Chelangat Wainaina,CBC-015,PP1,East,Raymond Wambui Wainaina,raymond.wambui@giakanja.co.ke,2021-02-15
Omondi Omondi Gitau,CBC-016,PP1,West,Sandra Maina Gitau,sandra.maina@giakanja.co.ke,2020-02-15
Awino Muthoni Gitau,CBC-017,PP1,West,Lucy Zawadi Gitau,lucy.zawadi@giakanja.co.ke,2020-10-23
Kipchoge Muthoni Murithi,CBC-018,PP1,West,Naomi Adhiambo Murithi,naomi.adhiambo@giakanja.co.ke,2020-08-14
Gloria Muthoni Nyakundi,CBC-019,PP1,West,Akinyi Waweru Nyakundi,akinyi.waweru@giakanja.co.ke,2020-06-11
Kelvin Mwenda Odhiambo,CBC-020,PP1,West,Derrick Kimani Odhiambo,derrick.kimani@giakanja.co.ke,2020-01-03
Grace Njoroge Omari,CBC-021,PP1,West,Samson Waweru Omari,samson.waweru@giakanja.co.ke,2020-01-04
